,,,Income,Income
,,,CAT,FT
Class,Layers,Split,,
class_0,10,train,3.8057842,3.8065553
class_0,10,test,3.8057783,3.8065586
class_0,5,train,3.8027081,3.8061697
class_0,5,test,3.8027098,3.8061728
class_0,15,train,3.8071132,3.8071382
class_0,15,test,3.8071136,3.807142
class_0,20,train,3.8070385,3.8073199
class_0,20,test,3.807039,3.80732
class_1,10,train,3.805947,3.8062515
class_1,10,test,3.8059676,3.8062572
class_1,5,train,3.8009543,3.8052669
class_1,5,test,3.8008623,3.8052483
class_1,15,train,3.8069005,3.8068466
class_1,15,test,3.8068974,3.8068376
class_1,20,train,3.8069212,3.8072755
class_1,20,test,3.8069165,3.8072743
