,Class,Layers,Split,Dataset,Model,Entropy
0,class_0,10,train,Income,CAT,3.8057842
1,class_0,10,train,Income,FT,3.8065553
2,class_0,10,train,Covertype,CAT,5.7190385
3,class_0,10,train,Covertype,FT,5.7286253
4,class_0,10,train,Higgs,CAT,4.802549
5,class_0,10,train,Higgs,FT,4.802113
6,class_0,10,test,Income,CAT,3.8057783
7,class_0,10,test,Income,FT,3.8065586
8,class_0,10,test,Covertype,CAT,5.7190223
9,class_0,10,test,Covertype,FT,5.728634
10,class_0,10,test,Higgs,CAT,4.8025618
11,class_0,10,test,Higgs,FT,4.8021293
12,class_0,5,train,Income,CAT,3.8027081
13,class_0,5,train,Income,FT,3.8061697
14,class_0,5,train,Covertype,CAT,5.662136
15,class_0,5,train,Covertype,FT,5.650303
16,class_0,5,train,Higgs,CAT,4.781252
17,class_0,5,train,Higgs,FT,4.7847033
18,class_0,5,test,Income,CAT,3.8027098
19,class_0,5,test,Income,FT,3.8061728
20,class_0,5,test,Covertype,CAT,5.6622324
21,class_0,5,test,Covertype,FT,5.65026
22,class_0,5,test,Higgs,CAT,4.7812734
23,class_0,5,test,Higgs,FT,4.784675
24,class_0,15,train,Income,CAT,3.8071132
25,class_0,15,train,Income,FT,3.8071382
26,class_0,15,train,Covertype,CAT,5.739296
27,class_0,15,train,Covertype,FT,5.7374277
28,class_0,15,train,Higgs,CAT,4.805374
29,class_0,15,train,Higgs,FT,4.8047132
30,class_0,15,test,Income,CAT,3.8071136
31,class_0,15,test,Income,FT,3.807142
32,class_0,15,test,Covertype,CAT,5.7392926
33,class_0,15,test,Covertype,FT,5.7374225
34,class_0,15,test,Higgs,CAT,4.8053713
35,class_0,15,test,Higgs,FT,4.8047056
36,class_0,20,train,Income,CAT,3.8070385
37,class_0,20,train,Income,FT,3.8073199
38,class_0,20,train,Covertype,CAT,5.7464147
39,class_0,20,train,Covertype,FT,5.743988
40,class_0,20,train,Higgs,CAT,4.806542
41,class_0,20,train,Higgs,FT,4.8058305
42,class_0,20,test,Income,CAT,3.807039
43,class_0,20,test,Income,FT,3.80732
44,class_0,20,test,Covertype,CAT,5.7464075
45,class_0,20,test,Covertype,FT,5.7439785
46,class_0,20,test,Higgs,CAT,4.806541
47,class_0,20,test,Higgs,FT,4.8058295
48,class_0,1,train,Income,CAT,3.7573013
49,class_0,1,train,Income,FT,3.6797094
50,class_0,1,train,Covertype,CAT,4.1302342
