Model,Dataset,Metric,Mean,Std Dev
FT,Income,Test Accuracy,0.8560433727631179,0.0017031450898708105
FT,Income,Test F1,0.8532784799393601,0.0007210144393373985
FT,Higgs,Test Accuracy,0.7271099628320189,0.0021250490743778523
FT,Higgs,Test F1,0.7271476906752645,0.0020087728831085228
FT,Helena,Test Accuracy,0.38663940013633263,0.00195852186756081
FT,Helena,Test F1,0.3667691490034626,0.0017732521280424904
FT,Covertype,Test Accuracy,0.9636698995149292,0.0012074965844874651
FT,Covertype,Test F1,0.963676480669372,0.001186213385550317
FT,Aloi,Test Accuracy,0.9540946502057613,0.0014688533578250925
FT,Aloi,Test F1,0.9539298639690893,0.001423187086356817
FT,California,Test RMSE,0.34497407462164675,0.09412298912366839
FT,Jannis,Test Accuracy,0.7225849256900213,0.004123933979755927
FT,Jannis,Test F1,0.7195103949923638,0.0038364154599571966
CAT,Income,Test Accuracy,0.8558917197452228,0.003313453596669844
CAT,Income,Test F1,0.8507176900113381,0.0018127857183211067
CAT,Higgs,Test Accuracy,0.722803916236062,0.0008327066027954694
CAT,Higgs,Test F1,0.7223419773318948,0.001115275789118167
CAT,Helena,Test Accuracy,0.37464212678936604,0.0010122182961770823
CAT,Helena,Test F1,0.3604494099872995,0.0009908628459054858
CAT,Covertype,Test Accuracy,0.9658901520041078,0.0007950264827765824
CAT,Covertype,Test F1,0.9658871705046815,0.0008000150563960142
CAT,Aloi,Test Accuracy,0.9508230452674896,0.0011103487706363756
CAT,Aloi,Test F1,0.950633242421524,0.0011622074131442406
CAT,California,Test RMSE,0.24274293843068576,0.011706339564087604
CAT,Jannis,Test Accuracy,0.7065552016985138,0.0031138163054487676
CAT,Jannis,Test F1,0.7045108415129508,0.0030677167868087673
TAB,Income,Test Accuracy,0.847854109796785,0.001301258894580749
TAB,Income,Test F1,0.8421216475088632,0.0011122089517450542
TAB,Higgs,Test Accuracy,0.7125147312120389,0.0006622989391806104
TAB,Higgs,Test F1,0.7116387226285029,0.0012059412151684123
TAB,Helena,Test Accuracy,0.36888207225630537,0.002969737002152955
TAB,Helena,Test F1,0.3391949882525746,0.00281062314109839
TAB,Covertype,Test Accuracy,0.9216027124945138,0.003276165262761271
TAB,Covertype,Test F1,0.9215942288298017,0.0031578176335762707
TAB,Aloi,Test Accuracy,0.9442798353909465,0.001145260909471251
TAB,Aloi,Test F1,0.9441469826773896,0.001190516069369871
TAB,California,Test RMSE,0.949364888040643,0.004836775631676841
TAB,Jannis,Test Accuracy,0.6947452229299363,0.00572510730838379
TAB,Jannis,Test F1,0.6915000937857906,0.005758833225818402
XGBoost,Income,Test Accuracy,0.8727252047315742,1.1102230246251565e-16
XGBoost,Income,Test F1,0.8684894132424907,0.0
XGBoost,Higgs,Test Accuracy,0.7162768561327169,0.0
XGBoost,Higgs,Test F1,0.7159576005042908,1.1102230246251565e-16
XGBoost,Helena,Test Accuracy,0.33946830265848665,5.551115123125783e-17
XGBoost,Helena,Test F1,0.3174101252887207,0.0
XGBoost,Covertype,Test Accuracy,0.8707606516182885,1.1102230246251565e-16
XGBoost,Covertype,Test F1,0.8701666727316306,0.0
XGBoost,Aloi,Test Accuracy,0.9264814814814816,1.1102230246251565e-16
XGBoost,Aloi,Test F1,0.9262994125344827,0.0
XGBoost,California,Test RMSE,0.8651529280076683,0.0
XGBoost,Jannis,Test Accuracy,0.7120222929936307,1.1102230246251565e-16
XGBoost,Jannis,Test F1,0.7060745413593447,0.0
SAINT,Income,Test Accuracy,0.8466029723991507,0.001593259128711755
SAINT,Income,Test F1,0.8424284578536203,0.00011406637318420054
SAINT,Higgs,Test Accuracy,0.6944746623152933,0.0024149023216340597
SAINT,Higgs,Test F1,0.6941518635837252,0.002235011727679641
SAINT,Helena,Test Accuracy,0.3274369461486026,0.00295444211762362
SAINT,Helena,Test F1,0.32153415558010406,0.0013819587061554364
SAINT,Covertype,Test Accuracy,0.9617508440688566,0.0008939459682731284
SAINT,Covertype,Test F1,0.9617697810250178,0.0008993321432822545
SAINT,California,Test RMSE,0.8416842145390531,0.0036393538558480475
SAINT,Jannis,Test Accuracy,0.6661889596602973,0.0010688445098514983
SAINT,Jannis,Test F1,0.66311170172759,0.0016444478197106534
